score,genres
7.6,"['drama', 'comedy', 'romance']"
7.2,"['drama', 'romance']"
8.8,"['comedy', 'music']"
6.7,"['romance', 'drama', 'comedy']"
5.9,"['comedy', 'drama', 'european']"
7.6,"['drama', 'sport']"
6.6,"['thriller', 'action']"
7.1,"['horror', 'european']"
8.6,"['comedy', 'crime']"
8.1,['drama']
7.6,"['western', 'drama']"
,"['action', 'thriller', 'scifi']"
7.0,"['thriller', 'action', 'war', 'european']"
7.6,"['fantasy', 'romance', 'family']"
8.5,"['drama', 'european']"
7.8,"['drama', 'history', 'war', 'action']"
6.7,"['comedy', 'family', 'romance']"
6.9,"['comedy', 'drama', 'family', 'music', 'romance', 'sport']"
6.8,"['thriller', 'action', 'drama', 'european']"
7.3,['thriller']
7.9,"['action', 'scifi', 'drama', 'fantasy', 'european']"
,"['drama', 'war', 'thriller', 'horror']"
6.3,"['fantasy', 'comedy', 'family', 'romance', 'animation']"
6.7,"['comedy', 'drama', 'romance']"
7.3,"['fantasy', 'romance', 'animation', 'drama', 'family']"
7.1,"['horror', 'drama', 'fantasy', 'thriller', 'european']"
7.3,"['crime', 'drama', 'thriller', 'european']"
5.8,"['thriller', 'comedy']"
6.3,"['drama', 'action', 'crime', 'thriller']"
6.9,"['animation', 'drama', 'romance', 'comedy', 'family', 'fantasy', 'scifi']"
8.3,"['drama', 'comedy']"
6.7,"['thriller', 'fantasy', 'scifi', 'action', 'horror']"
6.3,"['thriller', 'drama', 'romance', 'european']"
8.0,"['thriller', 'drama']"
6.8,"['drama', 'fantasy', 'romance', 'documentation']"
6.3,"['thriller', 'scifi', 'action', 'european']"
6.2,['comedy']
6.5,"['thriller', 'drama', 'action', 'crime', 'european']"
5.9,"['romance', 'comedy', 'drama']"
6.7,"['drama', 'romance', 'fantasy', 'comedy']"
8.3,"['scifi', 'action', 'comedy', 'drama', 'animation']"
6.8,"['crime', 'action', 'drama', 'thriller']"
7.0,"['drama', 'thriller', 'crime']"
5.7,['comedy']
6.8,"['drama', 'crime', 'history', 'thriller']"
8.7,"['scifi', 'animation', 'action', 'drama', 'thriller', 'war']"
6.5,"['thriller', 'scifi', 'fantasy', 'war', 'action']"
5.0,"['comedy', 'family']"
6.5,"['thriller', 'drama', 'crime', 'horror']"
4.0,"['fantasy', 'comedy', 'family']"
,"['documentation', 'comedy']"
5.8,"['horror', 'thriller', 'action', 'crime', 'fantasy', 'european']"
5.6,"['thriller', 'horror', 'fantasy']"
5.9,"['scifi', 'thriller', 'action']"
6.4,"['comedy', 'fantasy', 'animation', 'family', 'music', 'romance']"
8.0,"['drama', 'fantasy', 'action', 'history']"
7.3,"['drama', 'sport', 'european']"
5.8,"['action', 'thriller', 'fantasy', 'horror', 'scifi']"
5.5,"['romance', 'comedy']"
6.0,['horror']
5.4,"['drama', 'comedy', 'romance']"
5.1,"['comedy', 'romance']"
5.1,"['horror', 'fantasy', 'scifi', 'action', 'thriller']"
6.7,"['romance', 'drama', 'history']"
5.5,"['horror', 'thriller']"
7.4,"['drama', 'comedy', 'european']"
5.7,"['horror', 'action']"
7.9,"['action', 'comedy', 'drama', 'family', 'scifi', 'animation']"
7.3,"['drama', 'romance', 'european']"
5.2,"['horror', 'thriller', 'crime', 'drama']"
7.1,"['drama', 'action', 'thriller']"
5.9,"['romance', 'comedy', 'family']"
7.6,['reality']
6.3,"['animation', 'action', 'comedy', 'crime', 'family', 'fantasy', 'scifi']"
5.1,"['comedy', 'horror']"
6.2,"['horror', 'crime']"
6.1,"['comedy', 'crime']"
6.2,"['animation', 'comedy', 'family', 'fantasy', 'scifi', 'action']"
6.5,"['drama', 'comedy']"
5.5,"['comedy', 'thriller', 'action', 'crime']"
7.3,"['scifi', 'thriller', 'drama']"
8.9,"['comedy', 'european']"
8.4,"['comedy', 'drama']"
8.6,"['drama', 'comedy']"
7.2,"['drama', 'scifi', 'fantasy', 'family']"
8.3,"['scifi', 'fantasy', 'animation', 'comedy', 'drama', 'thriller', 'crime', 'horror', 'action']"
7.6,"['action', 'animation', 'comedy', 'family']"
4.8,"['comedy', 'crime', 'family', 'romance']"
7.0,"['animation', 'family']"
7.4,"['action', 'reality', 'animation', 'family', 'comedy', 'drama']"
6.8,"['drama', 'family', 'sport', 'fantasy']"
6.6,"['fantasy', 'animation', 'comedy', 'family']"
6.1,"['comedy', 'crime']"
6.6,"['drama', 'thriller', 'war', 'action']"
7.9,"['comedy', 'drama', 'romance']"
6.2,"['action', 'comedy', 'family', 'fantasy', 'animation', 'thriller', 'european']"
5.1,"['horror', 'thriller', 'scifi', 'action', 'european']"
6.3,"['comedy', 'family']"
5.8,"['horror', 'thriller', 'documentation']"
7.6,['drama']
6.5,"['fantasy', 'thriller', 'action', 'drama', 'family']"
5.5,"['comedy', 'drama', 'romance']"
7.6,"['scifi', 'thriller', 'comedy', 'drama', 'horror', 'european']"
8.0,"['animation', 'romance', 'comedy', 'drama']"
5.9,"['comedy', 'romance']"
,['western']
6.0,"['thriller', 'history', 'drama']"
5.9,"['thriller', 'drama', 'fantasy']"
8.0,"['animation', 'comedy', 'family', 'european']"
6.6,"['thriller', 'action', 'european']"
,"['thriller', 'european']"
8.1,"['drama', 'romance', 'sport']"
6.2,"['comedy', 'war']"
6.7,"['comedy', 'horror', 'reality', 'scifi', 'thriller']"
5.8,"['romance', 'comedy', 'drama']"
6.9,"['fantasy', 'family', 'action', 'war', 'drama', 'thriller', 'animation']"
8.3,['comedy']
5.6,"['comedy', 'romance']"
3.9,"['animation', 'family', 'comedy', 'european']"
8.4,['comedy']
5.6,['comedy']
7.6,['drama']
6.6,"['comedy', 'drama', 'sport', 'romance']"
,"['music', 'documentation']"
7.7,"['scifi', 'action', 'comedy', 'drama', 'fantasy', 'animation']"
6.7,"['thriller', 'action', 'crime', 'drama', 'sport']"
7.5,"['drama', 'history', 'sport', 'action']"
7.6,"['comedy', 'family', 'action', 'animation']"
8.3,"['drama', 'family']"
8.1,"['comedy', 'documentation']"
7.0,"['action', 'drama']"
8.2,"['comedy', 'drama', 'animation', 'romance']"
7.4,"['crime', 'thriller', 'drama', 'action']"
5.4,['drama']
7.8,"['action', 'drama', 'scifi', 'war', 'animation']"
5.5,"['comedy', 'fantasy', 'animation', 'family']"
5.1,"['comedy', 'drama', 'family', 'scifi', 'animation', 'action']"
7.3,"['action', 'fantasy', 'thriller', 'comedy', 'family', 'scifi', 'romance', 'animation']"
4.9,"['comedy', 'romance', 'drama']"
7.8,"['action', 'comedy', 'reality', 'romance', 'thriller']"
6.5,"['horror', 'music', 'animation', 'comedy', 'family', 'fantasy', 'scifi']"
7.5,"['comedy', 'family', 'fantasy', 'animation', 'european']"
5.3,"['animation', 'comedy', 'family', 'european']"
6.4,"['action', 'crime', 'drama', 'thriller', 'european']"
8.1,"['action', 'drama', 'scifi', 'fantasy', 'animation', 'family', 'european']"
7.6,"['comedy', 'documentation']"
6.3,"['drama', 'action', 'crime', 'thriller', 'animation', 'comedy', 'romance']"
6.9,"['comedy', 'documentation']"
3.6,"['action', 'comedy']"
7.5,"['fantasy', 'animation', 'action']"
5.4,"['comedy', 'family']"
5.6,"['action', 'scifi', 'family', 'western', 'animation']"
5.6,"['drama', 'romance']"
7.3,"['scifi', 'romance', 'animation', 'action', 'drama', 'fantasy', 'horror']"
7.9,"['scifi', 'animation', 'comedy', 'drama']"
6.8,"['comedy', 'fantasy', 'romance', 'action', 'animation', 'family', 'european']"
7.4,"['drama', 'european', 'history']"
,"['horror', 'thriller']"
7.4,"['drama', 'romance']"
6.7,"['fantasy', 'animation', 'action', 'family']"
,['comedy']
7.1,"['comedy', 'crime']"
8.0,"['comedy', 'documentation']"
5.6,"['thriller', 'horror', 'documentation', 'war', 'european']"
7.5,"['romance', 'history', 'war', 'action', 'drama']"
3.9,"['comedy', 'drama', 'romance']"
7.0,['comedy']
6.7,"['comedy', 'drama', 'fantasy', 'romance', 'thriller', 'action']"
7.9,"['comedy', 'drama', 'romance']"
8.1,"['action', 'crime', 'drama', 'thriller', 'comedy']"
4.8,"['drama', 'comedy', 'european']"
6.5,"['crime', 'scifi', 'drama', 'thriller', 'action', 'comedy']"
6.6,"['comedy', 'action', 'animation', 'fantasy']"
6.6,"['drama', 'action']"
6.3,"['comedy', 'family', 'fantasy', 'music', 'animation', 'european']"
5.9,['drama']
5.1,"['animation', 'romance', 'comedy', 'family']"
6.9,"['drama', 'comedy', 'animation', 'action']"
4.1,['animation']
5.8,"['thriller', 'drama', 'crime', 'action']"
6.4,"['action', 'animation']"
4.5,"['comedy', 'crime', 'drama']"
7.6,"['documentation', 'history', 'war', 'european']"
6.3,"['documentation', 'music']"
7.0,"['comedy', 'drama']"
6.1,['comedy']
7.2,"['action', 'comedy', 'family', 'animation']"
6.6,"['drama', 'comedy', 'romance', 'war']"
6.6,['thriller']
,['comedy']
6.4,"['fantasy', 'comedy', 'drama', 'animation', 'action']"
7.9,"['comedy', 'documentation']"
6.5,"['animation', 'comedy', 'family']"
6.3,"['drama', 'comedy']"
7.0,['comedy']
,['war']
6.9,"['comedy', 'fantasy', 'animation', 'family', 'european']"
7.4,['drama']
8.1,"['drama', 'comedy', 'romance']"
